stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
0089,,"MONTGOMERY",,  50.838120,   4.409113,,,0
0471,,"SIMONIS",,  50.863732,   4.329236,,,0
0472,,"SIMONIS",,  50.863543,   4.329023,,,0
0501,,"DE BROUCKERE",,  50.851179,   4.352436,,,0
0506,,"DE BROUCKERE",,  50.851566,   4.353217,,,0
0511,,"ROGIER",,  50.855702,   4.358030,,,0
0516,,"ROGIER",,  50.856079,   4.358598,,,0
0521,,"GARE DU NORD",,  50.860169,   4.359904,,,0
0526,,"GARE DU NORD",,  50.860763,   4.360500,,,0
0529,,"ROGIER",,  50.856232,   4.358726,,,0
0531,,"GARE DU NORD",,  50.860664,   4.359889,,,0
0536,,"GARE DU NORD",,  50.860763,   4.360273,,,0
0539,,"ROGIER",,  50.856097,   4.358569,,,0
0601,,"BOURSE",,  50.847601,   4.348731,,,0
0606,,"BOURSE",,  50.848068,   4.349426,,,0
0611,,"ANNEESSENS",,  50.844067,   4.345069,,,0
0616,,"ANNEESSENS",,  50.844625,   4.345906,,,0
0621,,"LEMONNIER",,  50.840120,   4.341011,,,0
0626,,"LEMONNIER",,  50.840300,   4.341436,,,0
0631,,"GARE DU MIDI",,  50.836559,   4.337818,,,0
0636,,"GARE DU MIDI",,  50.836784,   4.337478,,,0
0702,,"GARE DU MIDI",,  50.836712,   4.337520,,,0
0703,,"PORTE DE HAL",,  50.832434,   4.342988,,,0
0704,,"PARVIS ST-GILLES",,  50.829657,   4.346637,,,0
0705,,"HORTA",,  50.825837,   4.345589,,,0
0706,,"ALBERT",,  50.821171,   4.343548,,,0
0707,,"ALBERT",,  50.821260,   4.341901,,,0
0722,,"ALBERT",,  50.822312,   4.343604,,,0
0723,,"HORTA",,  50.825963,   4.345844,,,0
0724,,"PARVIS ST-GILLES",,  50.830035,   4.345842,,,0
0725,,"PORTE DE HAL",,  50.833163,   4.342789,,,0
0726,,"GARE DU MIDI",,  50.836452,   4.337960,,,0
0801,,"MONTGOMERY",,  50.837123,   4.407182,,,0
0806,,"MONTGOMERY",,  50.837456,   4.407367,,,0
0811,,"GEORGES HENRI",,  50.843515,   4.405554,,,0
0816,,"GEORGES HENRI",,  50.843785,   4.405455,,,0
0821,,"DIAMANT",,  50.848946,   4.402307,,,0
0826,,"DIAMANT",,  50.849108,   4.402392,,,0
0901,,"BOILEAU",,  50.832908,   4.405148,,,0
0906,,"BOILEAU",,  50.833456,   4.405461,,,0
1000,,"LEGRELLE",,  50.875262,   4.320517,,,0
1003,,"POMPIERS-UZ BRUS.",,  50.890440,   4.309032,,,0
1004,,"LIEBRECHT",,  50.889460,   4.318190,,,0
1007,,"BONAVENTURE",,  50.885007,   4.321757,,,0
1008,,"RENIERS",,  50.882661,   4.322001,,,0
1009,,"EUGENE TOUSSAINT",,  50.881043,   4.321790,,,0
1010,,"LE ROUX",,  50.878265,   4.321409,,,0
1012,,"SQ. DU CENTENAIRE",,  50.876286,   4.317660,,,0
1013,,"BRUXELLOIS",,  50.873843,   4.322479,,,0
1014,,"MIROIR",,  50.871012,   4.324470,,,0
1014F,,"MIROIR",,  50.871012,   4.324470,,,0
1015,,"BERVOETS",,  50.816597,   4.319798,,,0
1016,,"WILLEBROEK",,  50.863306,   4.353795,,,0
1018,,"BON AIR",,  50.835727,   4.275356,,,0
1019,,"PICARD",,  50.864060,   4.344122,,,0
1020,,"TOUR ET TAXIS",,  50.863306,   4.349156,,,0
1024,,"WTC",,  50.861176,   4.355358,,,0
1026,,"LIEBRECHT",,  50.889654,   4.318171,,,0
1027,,"LEGRELLE",,  50.874984,   4.320602,,,0
1030,,"GARE DU NORD",,  50.860826,   4.358739,,,0
1042,,"ICHEC",,  50.838265,   4.408091,,,0
1043,,"HOF TER MUSSCHEN",,  50.854208,   4.447844,,,0
1044,,"UZ BRUSSEL",,  50.885945,   4.308625,,,0
1046G,,"LEGRAND",,  50.816035,   4.371923,,,0
1047F,,"LEGRAND",,  50.815959,   4.371874,,,0
1048F,,"LEGRAND",,  50.815564,   4.371760,,,0
1049F,,"LEGRAND",,  50.815519,   4.371065,,,0
1050,,"UZ BRUSSEL",,  50.885698,   4.309667,,,0
1051,,"WILLEBROEK",,  50.863315,   4.354037,,,0
1052,,"WTC",,  50.861527,   4.355557,,,0
1053,,"FLESSINGUE",,  50.865163,   4.334533,,,0
1055,,"TOUR ET TAXIS",,  50.863018,   4.348724,,,0
1056,,"PICARD",,  50.864311,   4.343639,,,0
1057,,"UZ BRUSSEL",,  50.885703,   4.309038,,,0
1059,,"LEGRAND",,  50.816689,   4.371696,,,0
1060,,"DIELEGHEM",,  50.886310,   4.318544,,,0
1062,,"BRUXELLOIS",,  50.874167,   4.322535,,,0
1063,,"CESAR DE PAEPE",,  50.842882,   4.350791,,,0
1064,,"GOFFIN",,  50.866898,   4.310255,,,0
1065,,"LE ROUX",,  50.879155,   4.321791,,,0
1066,,"EUGENE TOUSSAINT",,  50.881187,   4.321846,,,0
1067,,"RENIERS",,  50.882814,   4.322101,,,0
1068,,"BONAVENTURE",,  50.885043,   4.321288,,,0
1069,,"SOETENS",,  50.886265,   4.319852,,,0
1072,,"FOREST (BERVOETS)",,  50.817226,   4.320107,,,0
1073,,"OUTRE-PONTS",,  50.873726,   4.359447,,,0
1075,,"POMPIERS-UZ BRUS.",,  50.889865,   4.309118,,,0
1076,,"OUTRE-PONTS",,  50.874022,   4.359319,,,0
1076B,,"OUTRE-PONTS",,  50.874022,   4.359347,,,0
1077,,"OUTRE-PONTS",,  50.874400,   4.360910,,,0
1079,,"DE RIVIEREN",,  50.878263,   4.316478,,,0
1080,,"DEMUNTER",,  50.890129,   4.315598,,,0
1081,,"DEMUNTER",,  50.890416,   4.315214,,,0
1082,,"GARE DU NORD",,  50.860915,   4.358355,,,0
1083,,"GARE DU NORD",,  50.860385,   4.358895,,,0
1084,,"OUTRE-PONTS",,  50.873600,   4.360129,,,0
1085,,"BERVOETS",,  50.817460,   4.320490,,,0
1087,,"LOUISE",,  50.836275,   4.354851,,,0
1089,,"PAVILLONS MEUDON",,  50.893923,   4.397845,,,0
1090,,"PAVILLONS MEUDON",,  50.893870,   4.397956,,,0
1094,,"VALIDA",,  50.866310,   4.303465,,,0
